id,age,income,children,income_zscore,gender=FEMALE,gender=MALE,region=INNER_CITY,region=RURAL,region=SUBURBAN,region=TOWN,married=NO,married=YES,car=NO,car=YES,savings_acct=NO,savings_acct=YES,current_acct=NO,current_acct=YES,mortgage=NO,mortgage=YES,pep=NO,pep=YES,age_cat=mid-age,age_cat=old,age_cat=young
ID12101,0.6122448979591837,0.21563448481990038,0.3333333333333333,-0.774168086680832,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
ID12102,0.4489795918367347,0.4313947527948036,1.0,0.1987063055625042,False,True,False,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,False,False
ID12103,0.673469387755102,0.19893337261117403,0.0,-0.8494742797179226,True,False,True,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False
ID12104,0.10204081632653061,0.26431996481513065,1.0,-0.554642697664611,True,False,False,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True
ID12105,0.7959183673469388,0.7839867891552552,0.0,1.7885623356074563,True,False,False,True,False,False,False,True,True,False,False,True,True,False,True,False,True,False,False,True,False
ID12106,0.7959183673469388,0.5653426283241985,0.6666666666666666,0.8026843188503998,True,False,False,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False
ID12107,0.08163265306122448,0.06646822409499363,0.0,-1.4467665989464673,False,True,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,True
ID12108,0.8163265306122449,0.3429765938369007,0.0,-0.19997582190616453,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False
ID12109,0.3877551020408163,0.34913153700304683,0.6666666666666666,-0.17222285956393563,True,False,False,False,True,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,False
ID12110,0.7346938775510204,0.33033805384379383,0.6666666666666666,-0.25696366322673225,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False
ID12111,0.9795918367346939,0.9427660834239999,0.0,2.5045065215430187,True,False,False,False,False,True,False,True,True,False,False,True,False,True,True,False,True,False,False,True,False
